idx,texto,tipo,subtipo
1,olá!,ping,
2,"oi, tudo bem?",ping,
3,bom dia!,ping,
4,beleza?,ping,
5,tem alguém aí?,ping,
6,está me ouvindo?,ping,
7,posso falar com você?,ping,
8,posso te perguntar uma coisa?,ping,
9,posso usar você agora?,ping,
10,posso conversar com você?,ping,
11,só testando aqui,ping,
12,estou testando o sistema,ping,
13,será que você funciona mesmo?,ping,
14,você está funcionando?,ping,
15,estou vendo se você responde,ping,
16,me responde!,ping,
17,diga oi,ping,
18,"responda, por favor",ping,
19,fala alguma coisa aí,ping,
20,"e aí, beleza?",ping,
21,como você está?,ping,
22,tudo bem contigo?,ping,
23,está tudo certo por aí?,ping,
24,tudo certo por aí?,ping,
25,oi,ping,
26,olá,ping,
27,bom dia,ping,
28,boa tarde,ping,
29,boa noite,ping,
30,tudo bem?,ping,
31,tudo certo?,ping,
32,como vai?,ping,
33,tudo tranquilo?,ping,
34,e aí?,ping,
35,eai,ping,
36,fala aí,ping,
37,salve!,ping,
38,oii,ping,
39,olaa,ping,
40,bomd ia,ping,
41,bboa tarde,ping,
42,boa notie,ping,
43,tudu bem,ping,
44,td bem?,ping,
45,comu vai?,ping,
46,falae,ping,
47,e aii,ping,
48,Saudações,ping,
49,"Boa tarde, tudo bem?",ping,
50,Cumprimentos,ping,
51,Como está você?,ping,
52,eae,ping,
53,fala man,ping,
54,blz?,ping,
55,tudo na paz?,ping,
56,tranks?,ping,
57,opa!,ping,
58,fala tu,ping,
59,teste,ping,
60,testando,ping,
61,só testando,ping,
62,só vendo se funciona,ping,
63,isso está funcionando?,ping,
64,será que está funcionando?,ping,
65,só conferindo,ping,
66,verificando o sistema,ping,
67,você está me ouvindo?,ping,
68,alguém aí?,ping,
69,tste,ping,
70,testanod,ping,
71,s testando,ping,
72,so vendo se funfa,ping,
73,ta funfando?,ping,
74,verifikando,ping,
75,alguem ai,ping,
76,vc ta me ouvindo?,ping,
77,Realizando teste,ping,
78,Estou verificando o funcionamento,ping,
79,Verificando a comunicação,ping,
80,Só conferindo se está ativo,ping,
81,só um teste aqui,ping,
82,será que tu responde?,ping,
83,vamo ver se vai,ping,
84,testezinho,ping,
85,só testando mesmo,ping,
86,tá ligado?,ping,
87,me ajuda!,ping,
88,fala comigo,ping,
89,diga alguma coisa,ping,
90,você está aí?,ping,
91,"responde, por favor",ping,
92,tá aí?,ping,
93,diz oi,ping,
94,alô?,ping,
95,alguém me escuta?,ping,
96,me ajdua,ping,
97,fzla comigo,ping,
98,diga algo ai,ping,
99,vc ta ai?,ping,
100,rspnde pfv,ping,
101,ta aii?,ping,
102,alo?,ping,
103,alguem escuta?,ping,
104,Poderia me responder?,ping,
105,Está disponível para interação?,ping,
106,Preciso de uma resposta,ping,
107,Solicito atenção,ping,
108,me nota,ping,
109,responde aí,ping,
110,fala comigo pô,ping,
111,tá me ignorando?,ping,
112,vamo conversar,ping,
113,me vê aqui,ping,
114,obrigado,ping,
115,muito obrigado,ping,
116,valeu,ping,
117,até mais,ping,
118,até logo,ping,
119,tchau,ping,
120,falou,ping,
121,agradecido,ping,
122,obrigdo,ping,
123,mto obg,ping,
124,vlw,ping,
125,at mais,ping,
126,tchauu,ping,
127,flw,ping,
128,agradeçido,ping,
129,Agradeço a atenção,ping,
130,Até a próxima,ping,
131,Muito grato,ping,
132,Despeço-me cordialmente,ping,
133,valeu mesmo,ping,
134,tamo junto,ping,
135,é nóis,ping,
136,até depois,ping,
137,fui!,ping,
138,testando se isso aqui fala comigo,ping,
139,só vendo se vc responde mesmo,ping,
140,"ola, tudo certin?",ping,
141,"bom diaa, ta por ai?",ping,
142,"eai blz, responde aí",ping,
143,"falaa bot, ta acordado?",ping,
144,so passei pra ver se funfa,ping,
145,"boa tarde, só testando msm",ping,
146,obrigada,ping,
147,"gostei muito da resposta, ajudou muito",ping,
148,"gostei muito da resposta, ajudou muito, posso pedir mais coisas?",ping,
149,só queria ver se você ainda está funcionando direitinho.,ping,
150,"obrigado pela ajuda, você foi bem rápido!",ping,
